,_id,_labels,birth_date,cost,is_done,name,number,passport,position,_start,_end,_type,count
0,2.0,:Employee,1970-02-01,,,Агафонов Арсений Кириллович,,,Прораб,,,,
1,3.0,:Employee,1970-02-01,,,Агеев Ярослав Никитич,,,Прораб,,,,
2,4.0,:Employee,1970-02-01,,,Алексеев Егор Ярославович,,,Прораб,,,,
3,5.0,:Employee,1970-02-01,,,Андреев Дмитрий Андреевич,,,Прораб,,,,
4,6.0,:Employee,1970-02-01,,,Анисимов Тимофей Викторович,,,Прораб,,,,
5,7.0,:Employee,1970-02-01,,,Анисимов Константин Даниилович,,,Прораб,,,,
6,8.0,:Employee,1970-02-01,,,Анохин Андрей Анатольевич,,,Прораб,,,,
7,9.0,:Employee,1970-02-01,,,Астафьев Даниил Станиславович,,,Прораб,,,,
8,10.0,:Employee,1970-02-01,,,Афанасьев Илья Артёмович,,,Прораб,,,,
20,22.0,:Employee,1999-07-14,,,Юрий Вячеславович Кортев,,1312415.0,студент,,,,
21,23.0,:Employee,2021-02-19,,,Юрий Викторович Копустин,,1312415.0,студент,,,,
22,24.0,:Employee,2021-01-23,,,Иван павп ппв,,1312415.0,студент,,,,
