,_id,_labels,birth_date,cost,is_done,name,number,passport,position,_start,_end,_type,count
36,,,,,,,,,,17.0,14.0,MATERIAL,100.0
37,,,,,,,,,,18.0,14.0,MATERIAL,100.0
38,,,,,,,,,,19.0,14.0,MATERIAL,100.0
39,,,,,,,,,,20.0,14.0,MATERIAL,100.0
40,,,,,,,,,,21.0,14.0,MATERIAL,100.0
41,,,,,,,,,,17.0,15.0,MATERIAL,100.0
42,,,,,,,,,,18.0,15.0,MATERIAL,100.0
43,,,,,,,,,,19.0,15.0,MATERIAL,100.0
44,,,,,,,,,,20.0,15.0,MATERIAL,100.0
45,,,,,,,,,,21.0,15.0,MATERIAL,100.0
46,,,,,,,,,,17.0,16.0,MATERIAL,100.0
47,,,,,,,,,,18.0,16.0,MATERIAL,100.0
48,,,,,,,,,,19.0,16.0,MATERIAL,100.0
49,,,,,,,,,,20.0,16.0,MATERIAL,100.0
50,,,,,,,,,,21.0,16.0,MATERIAL,100.0
