"_id","_labels","birth_date","cost","is_done","name","number","passport","position","_start","_end","_type","count"
"2",":Employee","1970-02-01","","","Агафонов Арсений Кириллович","","","Прораб",,,,
"3",":Employee","1970-02-01","","","Агеев Ярослав Никитич","","","Прораб",,,,
"4",":Employee","1970-02-01","","","Алексеев Егор Ярославович","","","Прораб",,,,
"5",":Employee","1970-02-01","","","Андреев Дмитрий Андреевич","","","Прораб",,,,
"6",":Employee","1970-02-01","","","Анисимов Тимофей Викторович","","","Прораб",,,,
"7",":Employee","1970-02-01","","","Анисимов Константин Даниилович","","","Прораб",,,,
"8",":Employee","1970-02-01","","","Анохин Андрей Анатольевич","","","Прораб",,,,
"9",":Employee","1970-02-01","","","Астафьев Даниил Станиславович","","","Прораб",,,,
"10",":Employee","1970-02-01","","","Афанасьев Илья Артёмович","","","Прораб",,,,
"11",":Brigade","","","","","1","","",,,,
"12",":Brigade","","","","","2","","",,,,
"13",":Brigade","","","","","3","","",,,,
"14",":Order","","10000","true","","1","","",,,,
"15",":Order","","20000","true","","2","","",,,,
"16",":Order","","30000","false","","3","","",,,,
"17",":Material","","","","Песок","","","",,,,
"18",":Material","","","","Цемент","","","",,,,
"19",":Material","","","","Щебень","","","",,,,
"20",":Material","","","","Балки","","","",,,,
"21",":Material","","","","Арматура","","","",,,,
"22",":Employee","1999-07-14","","","Юрий Вячеславович Кортев","","1312415","студент",,,,
"23",":Employee","2021-02-19","","","Юрий Викторович Копустин","","1312415","студент",,,,
"24",":Employee","2021-01-23","","","Иван павп ппв","","1312415","студент",,,,
"25",":Brigade","","","","","5","","",,,,
,,,,,,,,,"2","11","BRIGADE",""
,,,,,,,,,"3","11","BRIGADE",""
,,,,,,,,,"4","11","BRIGADE",""
,,,,,,,,,"5","12","BRIGADE",""
,,,,,,,,,"6","12","BRIGADE",""
,,,,,,,,,"7","12","BRIGADE",""
,,,,,,,,,"8","13","BRIGADE",""
,,,,,,,,,"9","13","BRIGADE",""
,,,,,,,,,"10","13","BRIGADE",""
,,,,,,,,,"11","14","ORDER",""
,,,,,,,,,"12","15","ORDER",""
,,,,,,,,,"13","16","ORDER",""
,,,,,,,,,"17","14","MATERIAL","100"
,,,,,,,,,"18","14","MATERIAL","100"
,,,,,,,,,"19","14","MATERIAL","100"
,,,,,,,,,"20","14","MATERIAL","100"
,,,,,,,,,"21","14","MATERIAL","100"
,,,,,,,,,"17","15","MATERIAL","100"
,,,,,,,,,"18","15","MATERIAL","100"
,,,,,,,,,"19","15","MATERIAL","100"
,,,,,,,,,"20","15","MATERIAL","100"
,,,,,,,,,"21","15","MATERIAL","100"
,,,,,,,,,"17","16","MATERIAL","100"
,,,,,,,,,"18","16","MATERIAL","100"
,,,,,,,,,"19","16","MATERIAL","100"
,,,,,,,,,"20","16","MATERIAL","100"
,,,,,,,,,"21","16","MATERIAL","100"
,,,,,,,,,"22","11","BRIGADE",""
,,,,,,,,,"23","12","BRIGADE",""
,,,,,,,,,"24","25","BRIGADE",""

